Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Referee;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
19/08/2023;Empoli;Verona;0;1;A;0;0;D;;10;10;4;4;17;18;2;4;2;2;0;0
19/08/2023;Frosinone;Napoli;1;3;A;1;2;A;;4;19;1;8;14;17;4;6;3;3;0;0
19/08/2023;Genoa;Fiorentina;1;4;A;0;3;A;;4;9;2;5;14;13;3;4;2;3;0;0
19/08/2023;Inter;Monza;2;0;H;1;0;H;;22;12;3;2;8;13;8;3;1;1;0;0
20/08/2023;Roma;Salernitana;2;2;D;1;1;D;;13;3;3;2;12;9;9;1;0;4;0;0
20/08/2023;Sassuolo;Atalanta;0;2;A;0;0;D;;11;16;3;6;9;13;7;7;0;0;0;0
20/08/2023;Lecce;Lazio;2;1;H;0;1;A;;23;10;7;4;12;16;5;2;3;2;0;0
20/08/2023;Udinese;Juventus;0;3;A;0;3;A;;18;9;5;4;12;10;7;3;1;3;0;0
21/08/2023;Torino;Cagliari;0;0;D;0;0;D;;11;8;2;2;8;12;8;3;1;1;0;0
21/08/2023;Bologna;Milan;0;2;A;0;2;A;;17;10;5;6;10;4;3;6;2;2;0;0
26/08/2023;Frosinone;Atalanta;2;1;H;2;0;H;;13;18;5;6;10;10;3;7;1;2;0;0
26/08/2023;Monza;Empoli;2;0;H;1;0;H;;20;18;5;6;14;7;6;5;1;2;0;0
26/08/2023;Milan;Torino;4;1;H;3;1;H;;17;8;7;1;13;16;2;1;2;3;0;0
26/08/2023;Verona;Roma;2;1;H;2;0;H;;5;23;3;7;17;12;1;12;1;3;1;0
27/08/2023;Fiorentina;Lecce;2;2;D;2;0;H;;9;6;4;2;13;12;3;3;1;3;0;0
27/08/2023;Juventus;Bologna;1;1;D;0;1;A;;14;9;3;4;14;13;5;1;2;1;0;0
27/08/2023;Lazio;Genoa;0;1;A;0;1;A;;16;5;2;3;9;16;15;1;4;2;0;0
27/08/2023;Napoli;Sassuolo;2;0;H;1;0;H;;25;6;5;1;9;10;12;4;0;1;0;1
28/08/2023;Salernitana;Udinese;1;1;D;0;0;D;;9;14;4;6;12;19;7;5;4;4;0;0
28/08/2023;Cagliari;Inter;0;2;A;0;2;A;;12;17;2;3;9;10;4;7;1;1;0;0
01/09/2023;Sassuolo;Verona;3;1;H;1;0;H;;16;11;7;3;8;13;10;1;1;3;0;0
01/09/2023;Roma;Milan;1;2;A;0;1;A;;13;9;2;4;14;15;3;5;2;4;0;1
02/09/2023;Bologna;Cagliari;2;1;H;0;1;A;;16;7;7;1;9;13;5;2;1;2;0;0
02/09/2023;Udinese;Frosinone;0;0;D;0;0;D;;12;12;6;2;14;9;3;5;2;2;0;0
02/09/2023;Atalanta;Monza;3;0;H;2;0;H;;18;8;8;2;11;9;7;3;0;3;0;0
02/09/2023;Napoli;Lazio;1;2;A;1;1;D;;22;6;4;2;8;9;7;2;1;2;0;0
03/09/2023;Inter;Fiorentina;4;0;H;1;0;H;;21;6;11;2;13;12;1;1;1;1;0;0
03/09/2023;Torino;Genoa;1;0;H;0;0;D;;10;7;3;2;13;7;4;0;2;5;0;0
03/09/2023;Empoli;Juventus;0;2;A;0;1;A;;7;18;0;5;14;13;3;7;3;3;0;0
03/09/2023;Lecce;Salernitana;2;0;H;1;0;H;;20;11;6;4;17;15;6;5;3;3;0;0
16/09/2023;Juventus;Lazio;3;1;H;2;0;H;;17;16;7;5;13;13;7;9;5;1;0;0
16/09/2023;Inter;Milan;5;1;H;2;0;H;;14;9;7;2;16;13;5;0;2;2;0;0
16/09/2023;Genoa;Napoli;2;2;D;1;0;H;;8;12;3;4;14;8;3;1;3;2;0;0
17/09/2023;Cagliari;Udinese;0;0;D;0;0;D;;10;11;1;1;12;11;4;6;2;1;1;0
17/09/2023;Frosinone;Sassuolo;4;2;H;1;2;A;;16;18;6;7;10;9;5;6;4;2;0;0
17/09/2023;Monza;Lecce;1;1;D;1;1;D;;25;4;6;3;17;11;10;1;6;1;1;1
17/09/2023;Fiorentina;Atalanta;3;2;H;2;1;H;;15;11;8;4;8;14;3;4;1;2;0;0
17/09/2023;Roma;Empoli;7;0;H;3;0;H;;14;8;9;2;15;5;2;6;2;2;0;0
18/09/2023;Salernitana;Torino;0;3;A;0;2;A;;14;11;4;3;12;16;1;2;2;2;0;0
18/09/2023;Verona;Bologna;0;0;D;0;0;D;;9;11;1;4;18;10;3;4;4;2;0;0
22/09/2023;Salernitana;Frosinone;1;1;D;0;1;A;;19;9;6;3;12;12;8;6;2;2;0;0
22/09/2023;Lecce;Genoa;1;0;H;0;0;D;;18;8;3;1;12;10;4;3;1;3;0;1
23/09/2023;Milan;Verona;1;0;H;1;0;H;;9;10;4;2;13;9;2;3;4;2;0;0
23/09/2023;Sassuolo;Juventus;4;2;H;2;1;H;;18;15;7;2;13;8;6;3;4;2;0;0
23/09/2023;Lazio;Monza;1;1;D;1;1;D;;8;16;1;4;13;7;1;3;2;2;0;0
24/09/2023;Empoli;Inter;0;1;A;0;0;D;;7;23;1;6;15;11;3;6;2;2;0;0
24/09/2023;Atalanta;Cagliari;2;0;H;1;0;H;;10;11;6;1;6;11;7;7;1;2;0;0
